Direction,coded_direction,IWZ,Latitude,Longitude,Name,SegmentLength,Group,Group_new,ID,Linear-Reference,order,ProjectName,Portable,APS,Device,GID
SB,2,0,43.0303,-93.341966,IWZ3553 - I-35 SB @ MM 186.05,0.475,2a,Group 2a,6,186.05,3,Project 2a,1,1,Sensor,175896
NB,1,0,41.149335,-95.821531,CBDS 26 NB,0.85,i,Group 5 - 4.1 - I29,1,42.85,1,Project 4.1 - I-29,0,0,Sensor,50908
SB,2,0,41.149378,-95.822561,CBDS 26 SB,0.85,i,Group 5 - 4.1 - I29,2,42.85,1,Project 4.1 - I-29,0,0,Sensor,50908
NB,1,0,41.173797,-95.82299,CBDS 52 NB,1.375,i,Group 5 - 4.1 - I29,3,44.55,2,Project 4.1 - I-29,0,0,Sensor,52888
SB,2,0,41.173754,-95.824127,CBDS 52 SB,1.375,i,Group 5 - 4.1 - I29,4,44.55,2,Project 4.1 - I-29,0,0,Sensor,52888
NB,1,0,41.189433,-95.823083,CBDS 27 NB,1.15,i,Group 5 - 4.1 - I29,5,45.6,3,Project 4.1 - I-29,0,0,Sensor,53548
SB,2,0,41.189433,-95.823083,CBDS 27 SB,1.15,i,Group 5 - 4.1 - I29,6,45.6,3,Project 4.1 - I-29,0,0,Sensor,53548
NB,1,0,41.21784,-95.83028,IWZ 3090 NB,1.055,i,Group 5 - 4.1 - I29,7,46.8,4,Project 4.1 - I-29,1,1,Sensor,56187
SB,2,0,41.218114,-95.829713,IWZ 3090 SB,0.75,i,Group 5 - 4.1 - I29,8,46.8,4,Project 4.1 - I-29,1,1,Sensor,0
NB,1,0,41.206262,-95.822818,CBDS 28 NB,0.6,i,Group 5 - 4.1 - I29,9,46.85,5,Project 4.1 - I-29,0,0,Sensor,54868
SB,2,0,41.206262,-95.82387,CBDS 28 SB,0.6,i,Group 5 - 4.1 - I29,10,46.85,5,Project 4.1 - I-29,0,0,Sensor,54868
SB,2,0,41.22381,-95.836217,CBDS 18 SB from I-80 WB,1.05,i,Group 5 - 4.1 - I29,11,48.35,6,Project 4.1 - I-29,0,0,Sensor,#N/A
SB,2,0,41.2305,-95.843583,CBDS 16 EB Thru to I-29 SB,0.305,i,Group 5 - 4.1 - I29,12,48.9,7,Project 4.1 - I-29,0,0,Sensor,56846
NB,1,0,41.231918,-95.845434,CBDS 17 I-29 NB,1.275,i,Group 5 - 4.1 - I29,13,48.96,6,Project 4.1 - I-29,0,0,Sensor,56846
SB,2,0,41.231918,-95.845434,CBDS 17 I-29 SB,0.225,i,Group 5 - 4.1 - I29,14,48.96,8,Project 4.1 - I-29,0,0,Sensor,0
WB,1,0,41.231917,-95.851933,CBDS 14 WB,0.355,i,Group 5 - 4.1 - I29,15,49.35,7,Project 4.1 - I-29,0,0,Sensor,56845
EB,2,0,41.231917,-95.851933,CBDS 14 EB,0.245,i,Group 5 - 4.1 - I29,16,49.35,9,Project 4.1 - I-29,0,0,Sensor,56845
EB,2,0,41.232008,-95.854736,I-80 CBDS 57 EB,0.16,i,Group 5 - 4.1 - I29,17,49.45,10,Project 4.1 - I-29,0,1,Sensor,#N/A
WB,1,0,41.2319,-95.857217,CBDS 12 WB,0.205,i,Group 5 - 4.1 - I29,18,49.67,8,Project 4.1 - I-29,0,0,Sensor,56845
EB,2,0,41.2319,-95.857217,CBDS 12 EB,0.34,i,Group 5 - 4.1 - I29,19,49.67,11,Project 4.1 - I-29,0,0,Sensor,56845
WB,1,0,41.232381,-95.858761,CBDS-59-WB,0.245,i,Group 5 - 4.1 - I29,20,49.76,9,Project 4.1 - I-29,0,0,Sensor,56845
EB,2,0,41.231947,-95.865519,CBDS 10 EB,0.42,i,Group 5 - 4.1 - I29,21,50.13,12,Project 4.1 - I-29,0,0,Sensor,56844
WB,1,0,41.232376,-95.865519,CBDS 10 WB,0.35,i,Group 5 - 4.1 - I29,22,50.16,10,Project 4.1 - I-29,0,0,Sensor,56844
WB,1,0,41.232329,-95.874076,I-80 CBDS 58 WB,0.39,i,Group 5 - 4.1 - I29,23,50.46,11,Project 4.1 - I-29,0,0,Sensor,56843
EB,2,0,41.232142,-95.875,I-80 CBDS 56 EB,0.405,i,Group 5 - 4.1 - I29,24,50.51,13,Project 4.1 - I-29,0,0,Sensor,56843
WB,1,0,41.232467,-95.883072,I-80 CBDS 55 WB,0.695,i,Group 5 - 4.1 - I29,25,50.94,12,Project 4.1 - I-29,0,0,Sensor,56842
EB,2,0,41.23225,-95.883063,I-80 CBDS 55 EB,0.405,i,Group 5 - 4.1 - I29,26,50.94,14,Project 4.1 - I-29,0,0,Sensor,56842
